Region,Country,Location,Course,i100,Architect,Construction,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,BackTee,Budget,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL
Africa,Morocco,Fes,Michlifen,,Nicklaus Design,,New,Open,,2020-06-28,33.5350795,-5.1099822,https://www.michlifen.com/en/golf-morocco.html,S1hWmYWGBT0,michlifenresort,michlifenresort,,,,IMG Managed,Atlas Mountains,GOLFTV/status/1259031602211852291,Nicklaus,,
Africa,Morocco,Saïdia,Saïdia Teelal,,Joakamides,,New,Open,,2020-12-14,35.0917325,-2.2749505,,,,,,,,,,,,,
Africa,South Africa,Johannesburg,Whistling Thorns,Short,De Abreu,,New,Open,,2020-07-01,-26.0418216,28.2600146,https://serengeti-estates.co.za/whistling/,HOAVxEYSsKc,serengetiestates,serengetiestates,,,,Par 3 Course,18 Par 3's,,,,
Asia,Cambodia,Phnom Penh,Vattanac-East,,Nick Faldo,,New,Open,,2020-09-22,11.4688376,105.0167496,https://www.vattanacgolfresort.com/,Z6zdXBNqh48,vattanac.golf.resort,vattanac.golf.resort,,,,,Flyover,thegolfbusiness/status/1171362455781433345,Golf Construction,,
Asia,Indonesia,Bandung,Parahyangan,,Moore,,New,Open,,2020-10-14,-6.8785227,107.4393988,https://parahyangangolf.com/,_7CgCAc1mMg,parahyangangolf,parahyangangolf,,,,JMP,Kota Baru,TMoguraya/status/1297504601873068034,@TMoguraya,,
Asia,Indonesia,Belitung,Black Rocks,,Ron Fream,,New,Open,,2021-02-09,-2.5654205,107.7049837,https://blackrocksgolf.co.id/,,blackrocksgolf,blackrocksgolf,7255,,,,,,,,
Asia,Japan,Hyogo,Hirono,100,Martin Ebert,,Restoration,Open,C.H. Allison,2020-09-22,34.770391,135.021666,https://www.google.com/search?q=Hirono+golf,8rmFbIVmjhk,,,,,,,ProVisualizer,BradleySKlein/status/1156635803109531648,Brad Klein Walk,,
Asia,Laos,Xieng Khouang,Phoukoud Thongkham,,,,New,Open,,2023-09-23,19.4513907,103.0427633,https://www.facebook.com/p/Phoukoud-Thongkham-Golfcourse-and-Resort-100063582759030/,Nh-VaFhAteM,,,,,,Golf resort,STO Lao Development,,,,
Asia,Malaysia,Johor,Forest City Classic,,Guo Kun,,New,Open,,2020-09-22,1.411618,103.5481709,https://fcgolfresort.com/forest-city-golf-resort-desert-golf-in-malaysias-johor-bahru/,Z7yGsb75JA8,forestcityindonesia,forestcityindonesia,,,,,Legacy,NicklausCo/status/1005131885469630466,Quinn,,
Asia,Sri Lanka,Kandy,Victoria,,Sam Sakocius,,Renovation,Open,Donald Steel Martin Ebert,2024-01-17,7.2777622,80.7560396,https://www.golfsrilanka.com/,,,,,$1.2M,,Mark Bostock Tony Whitham,,troonint/status/1113334259593256960,Troon International,,
Asia,Thailand,Chonburi,Siam Rolling Hills,,Curley,,New,Open,,2020-09-22,12.9062081,100.9879469,https://siamcountryclub.com/rolling-hills/,kYXKeHhU74w,siamcountryclub,siamcountryclub,,,,,Historical,joshuaGuo5/status/1306480299702796288,Pics,,
Asia,Thailand,Udon Thani,Royal Creek,,,,New,Open,,2020-10-26,17.464561,102.96408,https://www.facebook.com/royalcreekgolf/,,,,,,,,,,,,
Asia,Vietnam,Cam Ranh,KN Golf Links,,Greg Norman,,New,Open,,2020-05-02,11.9719423,109.2439145,https://www.kngolflinks.com,Hq6AiZ7XLKc,kngolflinks,kngolflinks,,,,,Links Golf,simees/status/1294456386730909697,Hole 15,,
Asia,Vietnam,Dong Hoi,FLC Quang Binh Ocean Dunes,,Brian Curley,,New,Open,,2020-09-22,17.3583935,106.7389672,https://flc-quang-binh-beach-golf-resort-golf-course.business.site/,2tg3W8nRHYk,flc_golfcourse,flc_golfcourse,,,,,Dunes Golf,,,,
Asia,Vietnam,Hanoi,BRG Kings Island,,Jack Nicklaus II,,New,Open,,2020-09-22,21.0612822,105.4742274,http://brgkingsislandgolf.vn/,6wuWAwPcKuM,,,,,,,Championship Golf,,,,https://www.instagram.com/p/CIS58P_F0dP/
AU/NZ,NZ,South Island,The Hills (The Farm) ,,Oliver,,New,Open,,2020-05-14,-44.9542279,168.8368992,https://www.planetgolf.com/news/designed-by-darius-oliver-the-farm-officially-opens-for-play,,thehillsgolfclub,thehillsgolfclub,,,,9 holes,,,,,
Europe,Czech Republic,Prague,Twin Chapels,,Jonathan Gaunt,,New,Open,,2020-05-02,50.1445572,14.4286119,https://twinchapels.cz/en/,VjQdJjSFZpQ,,,,,,,Shaping,,,,
GB&I,England,Norfolk,Royal Norwich ,,Eur Golf Design (McMurray),,New,Open,,2020-05-02,52.7158096,1.1147599,https://www.royalnorwichgolf.co.uk/,wEXBUBLlF3o,royalnorwichgolf,royalnorwichgolf,,,,,Hole 18,,,,
GB&I,England,Stafford,JCB Golf CC,,Robin Hiseman,,New,Open,,2020-05-02,52.9460575,-1.8604687,https://www.jcbgolfandcountryclub.com/,eUDSGhOq4yI,jcbgolfcc,jcbgolfcc,,,,,Best Modern,,,,https://golfdesignindia.com/portfolio-item/godrej-golf-links-uttar-pradesh/
GB&I,Scotland,Inverness,Kings GC,,Rennie,,New,Open,,2020-12-11,57.4644912,-4.2523992,https://www.kingsgolfclubinverness.co.uk/,8L0VE0SceqE,,,,,,,Flyover,,,,
L America,Mexico,Baja,Costas Palmas,,RTJ II,,New,Open,,2020-09-22,23.610738,-109.5920616,https://costapalmas.com/,qmoyWMl4Dm0,costapalmas,costapalmas,,,,,Beach Resort Golf,RTJ2GolfDesign/status/1305967182115942400,Hole 9,,
N America,USA,Georgia,Old Toccoa Farm,,Axland Dredla,,New,Open,,2020-06-30,34.9223098,-84.3309474,https://www.oldtoccoafarm.com/,ly26cyWLCn4,oldtoccoafarm,oldtoccoafarm,,,,New 9,Flyover,DawsonTigerGolf/status/854098967818272768,Hole 7,,
N America,USA,Kentucky,Sink Hole,Short,Lemons,,New,Open,,2020-12-09,36.9079876,-86.386972,https://www.olde-stone.com/Golf_(1)/The_Sink_Hole,,,,,,,Olde Stone,,,,,
N America,USA,Missouri,Ozarks National ,,Coore Crenshaw ,,New,Open,,2020-05-13,36.5612078,-93.1990332,https://bigcedar.com/golf/ozarks-national-course/,DBZCGjNNvg0,bigcedarlodge,bigcedarlodge,,,,,Golf in Midwest,,,,
N America,USA,South Carolina,Reserve Hollow Creek,,Johnston Zoeller,,New,Open,Johnston Zoeller ,2020-05-02,33.4892384,-81.7438575,https://www.thereserveclubatwoodside.com/golf,xYta3-YmzjI,,,,,,,Construction,,,,
N America,USA,Tennessee,Troubadour,,Tom Fazio,,New,Open,,2020-09-22,35.8287884,-86.6813668,https://thetroubadourclub.com,,,,,,,Discovery Land,,camrice21/status/1279525008239443969,Strategic Golf,,
N America,USA,Texas,Wildhorse GC,,Stephenson,,New,Open,,2020-09-22,33.1388963,-97.2442944,https://www.robsonranchgolfclub.com/,,wildhorsegolfrr,wildhorsegolfrr,,,,New 9,,,,,
N America,USA,Nevada,Wynn GC ,,Tom Fazio ,,Rebuild ,Open,,2020-05-02,36.1270596,-115.1684821,,,wynnproshop,wynnproshop,,,,,,,,,
N America,USA,Georgia,McLemore ,,Rees Jones Bill Bergin,,Rebuild ,Open ,,2020-09-22,34.7414494,-85.7267743,https://www.themclemore.com/,7QGvnDz1e0k,The_McLemore,The_McLemore,,,,Formerly Canyon Ridge,30 seconds,bshawnick/status/1290024725767311360,Georgia Mountains,,
Africa,Morocco,El Jadida,El Jadida,,James Duncan,,Renovation,Open,Cabell Robinson,2020-05-02,33.2447243,-8.4950871,http://golf-eljadida.com/,5MFVZb25578,,,,,,,Royal Golf,,,,
