Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Construction,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
Africa,Egypt,Cairo,,Madinaty,Holiday,,,2020,,RTJ II,,,,,,,New,Open,,,2020-12-23,30.099979,30.50414,,https://www.madinatygolfclub.com/,,,madinatygolf,Link,,,,,,,,,,,,,,,,,,
Africa,South Africa,Eswatini,,Nkonyeni ,Holiday,,,2020,,Peter Matkovich,,,,,,,New,Open,,,2020-10-02,-26.678725,31.400884,,https://www.nkonyeni.co.za/,,,,,,,,,,,,Golden Eagle,,,,,,,,,,
Asia,Cambodia,Phnom Penh,,Vattanac West,Once,Member,,2020,,Nick Faldo,,,,,,,New,Open,,,2020-12-21,11.468838,105.01675,,https://www.vattanacgolfresort.com/,,cVfhIAbx2A,,,7249,,1200,,,,,,Hole 1,thegolfbusiness/status/1329470372593459201,Holiday Golf,,,,,,,
Asia,India,Bangalore,,Kimmane Resort,Holiday,,,2020,,Phil Ryan,,,,,,,New,Open,,,2020-12-14,13.954697,73.26714,,http://kimmane.com/,,,,,,,,,,,,,,dp_satish/status/1333003474338910208,Championship Golf,,,,,,,
Asia,India,Mizoram,,Thenzawl Resort,Holiday,,,2020,,Cooke,$13M,,,,,,New,Open,,,2021-01-12,23.279,92.749515,,https://www.facebook.com/ThenzawlGolfCourse/,,75K9EBGzzDM,mizoraminsta,Mizoram,,,,,,,Public Private Infrastructure,State Tourism Dept,Golf Tourism,ThenzawlGolf/status/1344413867930050562,Top 100 Asia,,,,,,,
Asia,Malaysia,Miri,,Eastwood Valley,Holiday,,,2020,,Doug Nickels,,,,,,,New,Open,,,2020-05-15,4.370578,114.014995,,https://www.eastwoodvalley.com,,,,,,,,,,,,,,,,,,,,,,
Asia,Qatar,,,Education City,Holiday,,,2020,,Olazabal,,,,,,,New,Open,,,2021-06-15,25.3048667,51.4173254,,https://www.ecgolf.com/#The18HoleChampionship,,,,,,,,,,,,,,,,,,,,,,
Asia,South Korea,Yongin,,Sehyeon CC,Once,,,2020,,Dale Ramsey,,,,,,,New,Open,,,2020-06-30,37.214764,127.218009,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Thailand,Nakhon Nayok,,Atitaya Arirang,Holiday,,,2020,,TBA,,,,,,,New,Open,,,2020-12-12,14.171112,100.921297,,https://www.artitaya.com/,,,,,,,,,,,New 9,,,,,,,,,,,
Asia,Turkey,Ankara,,Regnum G&CC,Holiday,,,2020,,Lobb,,,,,,,New,Open,,,2020-10-02,39.933364,32.859742,,https://golfbusinessnews.com/news/courses/grassing-completed-at-regnum-ankara-by-lobb-and-partners/,,,,,,,,,,,,,,LOBBandPARTNERS/status/1311930722157039617,EGD,,,,,,,
Asia,Vietnam,Danang,,BRG Danang Nicklaus,Holiday,,,2020,,Jack Nicklaus,,,Flagstick,,,,New,Open,,,2020-06-28,15.971727,108.275709,,http://www.dananggolfclub.com/brg-da-nang-golf-resort-welcomes-asias-first-true-bulkhead-course-designed-by-the-worlds-leading-golf-course-architects-nicklaus-design,,,,,,,,,,,,,,,,,,,,,,
Asia,Vietnam,Hoi An,,Hoiana Shores,Holiday,,,2020,,RTJ II,,,,,,,New,Open,,,2020-06-28,15.823161,108.40099,,https://www.hoiana.com/golf/,,,,,,,,,,,,,,,,,,,,,,
Asia,Vietnam,Hanoi,,Stone Valley #2,Holiday,,,2020,,Brian Curley,,,,,,,New,Open,,,2020-09-14,20.536239,105.818192,,https://www.google.com/search?q=Stone+Valley+Golf+Vietnam,,bWnJiNjdMVs,,,,,,,,,,,Resort Golf,,,,,,,,,
Europe,Czech Republic,Orlické,,Golf Resort Dobrouč,Holiday,,,2020,,Cervenka,,,,,,,New,Open,,,2020-05-02,49.984154,14.249743,,https://www.golfdobrouc.cz/,,,,,,,,,,,,,,vladimir_balcar/status/1302470471057842179,Parkland Golf,,,,,,,
Europe,Czech Republic,Prague,,PGA National Oaks,Holiday,,,2020,,Kyle Phillips,,,Engelmann,,,,New,Open,,,2020-10-16,49.944248,14.603369,,https://oakspga.cz/,,,oaksprague,Oaks,,,,,,,,,,ASGCA/status/1309855410954940417,Hole 15,,,,,,,
Europe,France,Orleans,,Les Bordes New,Member,,,2020,,Gil Hanse,,,,,,,New,Open,,,2021-03-09,47.733228,1.681165,,https://www.lesbordes.com/,,,lesbordesgolf,Les B,,,,,,, + Piglet,,,ppcgolf/status/1415245454539853826,Heathland,Yes,,,,,,
