Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
N America,USA,Arizona,,Sterling Grove,Once,,,2021,,Cochran Nicklaus,$12M,,,,Heritage Links,,,,,,,,,New,Open,,,12/26/2021,33.594265,-112.43003,,https://www.sterlinggroveclub.com/golf,,E_kTMl0atTc,,,,,,,,,,,Vlog,,,,,,,,,
N America,USA,Arkansas,,Wilson Sporting Club,Once,,,2021,6,Goalby Schneider Conant,,,,,Total Turf,,,,,,,,,New,Open,,,12/10/2021,35.566822,-90.6038,,http://www.dundeegolf.com/wilson,,,,,,,,,,,,,,Dundee_Golf/status/1440672986470645769,Image,,,,,,,
N America,USA,Florida,,PGA National,Holiday,Public,Short,2021,,Andy Staples ,,,,,Total Turf,,,,,,,,,New,Open,,,12/24/2021,26.829097,-80.143521,,https://www.golfcoursearchitecture.net/content/andy-staples-reimagines-squire-course-at-pga-national,,F56CRq7CBiM,,,,,,,,,Squire,,PGA,,,,,,,,,
N America,USA,Florida,,Southern Oaks,Once,,,2021,,Ezell,,,,,,,,,,,,,,New,Open,,,12/12/2021,28.822035,-82.028689,,https://www.thevillages.com/whatsnew/golf,,WikE4Nq0asM,,,,,,,,,Villages,,Flyover,ASGCA/status/1289561767228477443,ASGCA,,,,,,,
N America,USA,Indiana,,Holliday Farms,Once,,,2021,,Dye Liddy,,,,,Wadsworth,,,,,,,,,New,Open,,,6/8/2021,39.989884,-86.263801,,https://hollidayfarmszionsville.com/golf/,,FVttDRI9p6Q,holliday_farms,Dye,,,,,,,,,Welcome,,,,,,,,,
N America,USA,Maine,,Sebasco Harbor,Holiday,Public,Short,2021,3,Stein,,,,,,,,,,,,,,New,Open,,,7/5/2022,43.767114,-69.864265,,https://www.sebasco.com/golf/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Michigan,,American Dunes,Holiday,,,2021,,Nicklaus,$14M,,,,Superior Golf,,,,,,,,,New,Open,,,9/29/2020,43.000564,-86.211438,,https://americandunesgolfclub.com/,,dc3pfYcuVHc,americandunes,Am Dunes,,,,,,,,,Construction,GOLF_com/status/1311006605866131457,GOLF,,,,,,,
N America,USA,Michigan,,Saskatoon Silver,Once,,,2021,,Albanese Matthews,,,,,,,,,,,,,,New,Open,,,12/26/2021,42.796423,-85.443615,,https://www.saskatoongolf.com/,,ayBhFt5Fbr4,,,,,,,,,,,,,,,,,,,,
N America,USA,Nebraska,,CapRock Ranch,Once,,,2021,,Gil Hanse ,,,,,Landscapes Unlimited,,,,,,,,,New,Open,,,9/2/2021,42.736804,-100.875556,,https://www.caprockranch.com/gallery,,kaItv-ftiDY,caprock.ranch,,,,,,,,,,Podcast,JwcJeff/status/1417875106425151494,Chop,Yes,,,,,,
N America,USA,Tennessee,,Oak Ridge,Once,,Short,2021,,Bill Bergin,,,,,,,,,,,,,,New,Open,,,12/21/2021,35.90596,-84.4187,,https://thepreserveatoakridge.com/amenities/the-patch/,,VtTCj8SUy_o,thepreserveatoakridge,TN,,,,,,,,,Flyover,,,,,,,,,
N America,USA,Texas,,Circle T Ranch,Once,Member,Short,2021,,Gil Hanse ,,,,,,,,,,,,,,New,Open,,,12/19/2022,32.9176819,-97.1007358,,https://www.circletranch.com/,,,,,,,,,,,Perot,,,,,,,,,,,
N America,USA,Texas,,Grand Oaks Reserve,Once,Member,,2021,,Mike Nuzzo,,,,,,,,,,,,,,New,Open,,,1/28/2022,30.333969,-95.062512,,https://www.grandoaksgc.com/,,,,,,,,,,,9 Grand,,,,,,,,,,,
N America,USA,Utah,,Timp Legacy Trail,Govt.,Public,Short,2021,,Atkinson,$4M,,,,,,,,,,,,,New,Open,,,4/12/2021,40.208073,-111.653369,,https://www.timpanogosgolf.com/legacy-trail/,,,,,,,,,,,Arid climate,,,AtkinsonGolf/status/1333935650152714241,Muni Golf,,,,,,,
N America,USA,Washington,,Gamble Sands Quicksand,Holiday,,,2021,,David McLay Kidd,,,,,,,,,,,,,,New,Open,,Kidd,5/5/2021,48.075375,-119.652155,,https://www.linksmagazine.com/quicksands-short-course-gamble-sands/?fbclid=IwAR38Ta9CWzVGjLTH0sJGfoSXQsuxEMIMwruzKFRhbdjH5o9n_LcFh2-n6Ys,,uGqU7Zb9nwo,gamblesandsgolf,Kidd,,,,,,,,,July,LinksGems/status/1365129034263367681,Top 100,,,,,,,
N America,USA,Washington,,Skamania,Once,Member,Short,2021,,Costello,,,,,,,,,,,,,,New,Open,,,1/9/2021,45.68574,-121.904835,,https://www.skamania.com/golf_course/,,kOIffvXdOcs,,,,,,,,,Gorge 9,,Costello,,,,,,,,,
N America,USA,Wisconsin,,Blackwolf Run Baths,Holiday,Public,,2021,,Chris Lutzke,,,,,,,,,,,,,,New,Open,,,6/4/2021,43.7269,-87.778073,,https://www.americanclubresort.com/,,,,,,,,,,,,,,GOLF_com/status/1285575063543177217,GOLF Magazine,,,,,,,
N America,USA,Wisconsin,,Pioneer Pointe,Once,,Short,2021,,Lohmann Quitno,,,,,Integrity GE,,,,,,,,,New,Open,,,11/23/2020,43.058151,-89.582862,,https://www.pioneerpointegolf.com/hole-by-hole,,,,,,,,,,,,,,LohmannQuitno/status/1329631605871218691,Hole 11,,,,,,,
N America,USA,Wisconsin,,Trapper's Turn,Once,,Short,2021,,Haltom North,,,,,,,,,,,,,,New,Open,,,1/25/2021,43.633337,-89.799689,,https://www.trappersturn.com/,,,,,,,,,,,,,,garydamatogolf/status/1217505577309556741,12North,,,,,,,
Africa,Egypt,Al Alamien,,Hacienda Bay GC,Holiday,,,2021,,Sanford,,,,,,,,,,,,,,New,Open,,,11/4/2020,30.945565,28.784636,,https://www.golfcoursearchitecture.net/content/sanford-golf-design-completes-hacienda-bay-in-egypt,,bSsENKIoYiQ,,,,,,,,,,,Al Alamien,,,,,,,,,
Africa,Nigeria,Yenagoa,,HSD Castle Rock,Holiday,,,2021,,Ron Garl Ricky Nix,,,,,Total Golf,,,,,,,,,New,Open,,,7/12/2021,4.948846,6.267643,,https://guardian.ng/sport/yenagoa-bubbles-as-hsd-golf-country-club-plans-first-anniversary/,,,newyenagoacity_,Real estate Golf,,,,,,,,,,,,,,,,,,
Africa,Rwanda,Kigali,,Rwanda Ultimate GC,Holiday,,Short,2021,,Gary Player,$17M,,,,Gregori,,,,,,,,,New,Open,,,9/3/2021,-1.929422,30.040558,,http://www.kigaligolfclub.com,,oEV02jDc3i4,,,,,128,,,,Open,,Greens Expansion,PlayerDesign/status/1351874437226885121,Golf Africa,,,,,,,
Asia,India,Hyderabad,,Haldi GC,Holiday,,,2021,,Ryan Reeves,,,,,,,,,,,,,,New,Open,,,1/7/2021,17.879949,78.443251,,https://haldigolfcounty.com/golf-villa-plots-hyderabad/#about,,,haldigolfcounty,Haldi,,,,,,,,,,,,,,,,,,
Asia,India,Uttar Pradesh,,Godrej Links,Holiday,,Short,2021,,Vijit Nandrajog,,,,,,,,,,,,,,New,Open,,,7/26/2021,28.470344,77.532823,,https://www.godrejpropertiesgreaternoida.com/godrej-golf-links,,,,,,,,,,,,,,gcamagazine/status/1415942121547341825,Vijit,,,,,,,
Asia,India,Uttar Pradesh,,Lotus Greens Noida,Holiday,,,2021,,Vijit Nandrajog,,,,,,,,,,,,,,New,Open,,,3/4/2022,28.564189,77.339865,,https://www.propdial.com/Property-Management-In-Noida/Sector-78/Lotus-Greens-Golf-Centric,,,,,,,,,,,,,,,,,,,,,,
Asia,Indonesia,Jakarta,,Sedayu,Holiday,,,2021,,Nicklaus Cope,,,,,,,,,,,,,,New,Open,,,12/14/2021,-6.035466,106.700915,,https://pik2info.com/golf-island/,,lGv6BnjVQOs,,,,,950,,,,Ellsworth,,MainGolfYukTV,gcamagazine/status/1295629087160111104,Par 3s,,,,,,,
