Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Owner
N America,USA,Colorado,Raindance National,Holiday,Public,2022,,Harrison Minchew,,,Fred Funk,,,New,Open,,,2022-07-14,40.4547128,-104.9281961,https://raindancecolorado.com/raindance-national/,3JM4Fhfp-Pg,raindancecolorado,raindancecolorado,,,FirePit,GCImagazine/status/1432726200078712839,World's Longest,,
N America,USA,Florida,National at Ave Maria,Holiday,Public,2022,,Gordon Lewis,,,,,,New,Open,,,2022-12-31,26.322565,-81.580232,https://www.thenationalgcc.com/,ESYVEzXuRNs,,,,,Putting Green,TimAtenKnows/status/1347041385271226368,PR,,
N America,USA,Florida,Stillwater,Once,Member,2022,,Bobby Weed ,,,MacCurrach,,,New,Open,,,2022-08-24,30.080917,-81.563359,https://www.stillwatergcc.com/golf,m-GtQeKrcGM,,,,,Scott Self,gcamagazine/status/1380141619383521289,GCA,,
N America,USA,Florida,White Oak,Once,Member,2022,,Dye MacCurrach,,,,,,New,Open,,Melnyk,2023-01-25,34.0758507,-118.498074,https://www.golfdigest.com/story/dye-course-white-oak-florida,,,,,,,,,,
N America,USA,Maryland,Thousand Acres,Once,Member,2022,,Craig Schreiner,,,,,,New,Open,,,2022-09-17,39.483599,-79.263284,https://thousandacresgolf.com/,,ThousandAcresGolf,New 9 holes,,,,,,,
N America,USA,Nebraska,Landmand,Holiday,Public,2022,,Tad King Rob Collins ,,,Burger,,,New,Open,,,2022-09-13,42.322271,-96.498637,https://www.landmandgc.com/,5I8QfdH3slU,kingcollinsgolf,King,,,Flyover,KingCollinsGolf/status/1470079852447416328,Images,,
N America,USA,Nebraska,Lost Rail,Once,Member,2022,,Scott Hoffman,,,Landscapes Unlimited,,,New,Open,,,2022-09-13,41.172158,-96.282254,https://www.lostrailgolf.com/,og4Z2_vTxrs,lostrailgolf,,,,Bill Kubly,LostRailGolf/status/1379085702902734849,Hole 17,,
N America,USA,Oregon,Bar Run,Holiday,Public,2022,18,Dan Hixson,,,Milroy Golf Systems,,2022,New,Open,,,2022-07-11,43.252962,-123.435507,https://www.barrungolf.com/,,barrungolf,Hixson,,Umpqua,,feedtheball/status/1312871937790550016,Tour,,
N America,USA,Texas,Chambers Creek,Once,Member,2022,9,Tom Lehman,,,VM Golf,,,New,Open,,,2022-10-11,32.181085,-96.7939542,https://www.chamberscreektx.com/,tfCC7dGzEkw,chamberscreektx,Aerial,,Lake Conroe,9-hole,,,,
N America,USA,Texas,Driftwood,Member,Member,2022,,Tom Fazio,,,Discovery,,,New,Open,,,2021-12-26,30.126023,-98.014809,https://www.driftwoodgolfclub.com/,2upyTaBRgW4,driftwoodgolfclub,Drift,,,Tour,,,,
N America,USA,Texas,East River 9,Holiday,Public,2022,,Michael Smelek,,,VM Golf,,,New,Open,,,2023-01-21,29.7513637,-95.3452562,https://eastriver9.com,bjyZY1NBMmU,eastriver9,eastriver9,,,Fox 26 News,,,,
N America,USA,Texas,Highland Pines,Once,Member,2022,,Tour 18,,,,,,New,Open,,,2022-12-30,30.1344173,-95.6001678,https://golfhighlandpines.com/golf/,j-5KyOlUkeA,,,,,Dennis Wilkerson,doguetdavid/status/1441247717615755266,Lazer Zoysia,,
N America,USA,Wyoming,Gillette GC,Holiday,Public,2022,13,Schroeder,,,Fusion,,,New,Open,,,2021-05-20,44.269646,-105.476465,https://gillettegolfclub.com/,BRCgFwb1g7g,,,,,New 9,fusiongolfus/status/1362765794753585154,Note,,
N America,Canada,Alberta,RotaryLinks,Holiday,Public,2022,,Les Furber,,,,,,New,Open,,,2022-02-01,56.6581766,-111.2739445,https://www.rotarylinksgolf.com,,,,,,,,,,
Africa,Ghana,Accra,Montgomery Residences,Once,Member,2022,9,,,,,,,New,Open,,,2021-12-23,5.7147733,-0.0739476,https://www.montgomerygh.com/playgolf,1qaCJwp_v-w,montgomery_residencesgh,East Legon,,,First Club,,,,
