Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Archive1,Archive2
N America,Canada,British Columbia,James Island,2023,Jack Nicklaus,Renovate,Open,Discovery Land,2023-11-25,48.6034937,-123.3769991,https://discoverylandco.com/communities/james-island,,,,,,,,
N America,Canada,Nova Scotia,Mabou,2027,TBA,New,Drawing boards ,,2023-04-30,46.0820418,-61.4527906,https://beyondthecontour.com/cabot-cape-breton-sets-sights-on-mabou-point/,,,,capebretonpost/status/1649707114166898688,Provincial Parks Act,,,
N America,Canada,Ontario,Taboo,2024,Nicklaus Design,Renovate,Drawing boards ,Ron Garl,2022-02-23,44.9696757,-79.3462787,https://muskokatoday.com/2021/09/jack-nicklaus-visits-taboo-for-look-at-re-designing-golf-course/,,,,,,,,
N America,Canada,Ontario,Weston,2022,Andy Staples,Masterplan,Drawing boards ,Willie Park,2022-03-25,43.7038089,-79.5352867,https://www.westongolfcc.com/Golf/CourseHistoryandArchitects,,,,colin_imrie/status/1507045822055211020,Design Plan,,,
N America,USA,Arizona,Apache Stronghold,2021,Tom Doak,New,Golf Course Closed,,2021-12-31,33.3641602,-110.9417721,https://fescue.github.io/Apache-Stronghold-Golf/,UPZyCoP-Cts,,17th hole,,,,https://ernieels.com/design/the-courses/europe/matalda-mali-losinj-croatia/,
N America,USA,Arizona,BellAir,2022,Forrest Richardson,Renovate,Drawing boards,Lawrence Nash,2022-03-20,33.642782,-112.158855,https://www.bellairgolfpark.com/the-course,,,,,,,,
N America,USA,California,Shingle Springs,2024,Forrest Richardson,New,Drawing boards ,9,2022-09-13,38.6712056,-120.958776,https://www.mtdemocrat.com/news/a-new-age-of-golf-in-development-for-shingle-springs/,,,,,,,,
N America,USA,California,Camarillo Hills,2027,Damian Pascuzzo,Reduce,Drawing boards ,,2023-04-28,34.24532,-119.094974,https://fescue.github.io/Camarillo-Springs-Golf-Course/,W-e7HbfsEBw,12 Holes,Redevelopment,,,,,
N America,USA,California,Carlton Oaks,2019,Cary Bickler,Reduce,Drawing boards ,,2023-01-01,32.8422851,-117.0120658,https://www.sandiegouniontribune.com/communities/east-county/story/2019-11-05/carlton-oaks-golf-course-looking-to-renovate-add-housing,PiZhvO9mLBM,,ALIKA Real Estate,,,,,
N America,USA,California,Coyote Canyon,2022,TBA,New,Never started,,2022-11-03,33.25546,-117.586994,https://land-collective.com/projects/coyote-canyon/,,,,,,,,
N America,USA,California,Desert Willow Firecliff,2024,TBA,Renovate,Drawing boards ,,2022-05-05,33.7665392,-116.3688684,https://www.desertwillow.com/-firecliff-course#.YnKCjHrMK70,,$1.8M,,,,,https://ernieels.com/design/the-courses/europe/matalda-mali-losinj-croatia/,
N America,USA,California,Guenoc Valley,2022,Tom Doak,New,Court closed,,2022-11-03,38.6933,-122.6047,https://fescue.github.io/Guenoc-Valley-Golf/,,Maha Napa Resort,,,,,,
N America,USA,California,Hacienda,2025,Todd Eckenrode,,Drawing boards ,William Watson,12/22/2023,33.959678,-117.948981,https://www.haciendagolfclub.com,,,,OriginsGolf/status/1476349018569465856,Masterplan,,,
N America,USA,California,Lake Tahoe,2025,Forrest Richardson,Rebuild,Drawing boards ,,2021-12-08,38.87106,-120.010024,http://southtahoenow.com/story/12/07/2021/restore-upper-truckee-river-project-will-reconfigure-golf-course-while-protecting-l,,Bell,,,,,,
N America,USA,California,Malibu CC,2014,Jackson Kahn,Rebuild,Drawing boards ,,2023-08-26,34.1077359,-118.7342619,https://www.golfcoursearchitecture.net/content/jackson-and-kahn-describe-malibu-golf-club-redesign-as-rare-opportunity,,CA Coastal Commission,,,,,,
N America,USA,California,Vandenburg Dunes,2027,TBA,Rebuild ,Drawing boards ,,2022-12-11,34.74113,-120.573792,https://www.thelarkingroup.com/vandenberg,,Larkin,,,,,,
N America,USA,Colorado,Brightwater,2026,TBA,Renovate,Drawing boards ,,2022-11-15,39.5846727,-106.9512775,https://www.vaildaily.com/news/brightwater-may-emerge-from-bankruptcy/,g28pKHqX88o,,Mountain Golf,,,,,
